Step,Finished Products,Unused Components A,Unused Components B
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,1,0,0
13,2,0,0
14,2,0,0
15,2,0,0
16,2,0,0
17,2,0,0
18,2,0,0
19,2,0,0
20,2,0,0
21,2,1,0
22,3,2,0
23,4,2,0
24,4,3,0
25,5,3,0
26,5,3,0
27,5,3,0
28,5,3,0
29,5,3,0
30,5,4,0
31,5,4,0
32,6,4,0
33,6,4,0
34,7,5,0
35,7,5,0
36,7,5,0
37,7,5,0
38,7,5,0
39,7,5,0
40,7,5,0
41,8,5,0
42,8,5,0
43,9,5,0
44,9,5,0
45,10,5,0
46,10,5,0
47,10,5,0
48,10,5,0
49,10,5,0
50,10,5,0
51,11,5,0
52,11,5,0
53,11,5,0
54,12,5,0
55,12,5,0
56,13,5,0
57,13,5,0
58,13,5,0
59,13,5,0
60,13,5,0
61,13,5,0
62,14,5,0
63,15,5,0
64,15,5,0
65,15,5,0
66,17,5,0
67,17,5,0
68,17,5,0
69,17,5,0
70,17,5,0
71,18,5,0
72,18,5,0
73,19,5,0
74,19,5,0
75,20,5,0
76,20,5,0
77,21,5,0
78,22,5,0
79,22,5,0
80,22,5,0
81,22,5,0
82,22,5,0
83,22,5,0
84,22,5,0
85,23,5,0
86,23,5,0
87,23,5,0
88,23,5,0
89,23,5,0
90,23,5,0
91,23,5,0
92,23,6,0
93,23,7,0
94,23,8,0
95,23,9,0
96,23,9,0
97,23,9,0
98,23,9,0
99,23,9,0
100,23,9,1
